Sub_Category,Lemma,Count
doctors,של,3883
doctors,את,3481
doctors,על,3142
doctors,הוא,2381
doctors,טיפול,1788
doctors,זה,1426
doctors,או,1389
doctors,מחלה,1269
doctors,לא,1210
doctors,יותר,1196
doctors,חולה,1029
doctors,•,1014
doctors,עם,974
doctors,תרופה,892
doctors,יש,869
doctors,גם,826
doctors,שנה,774
doctors,%,769
doctors,כי,768
doctors,יום,736
doctors,סרטן,696
doctors,כל,693
doctors,מחקר,683
doctors,ילד,653
doctors,פורום,642
doctors,דם,641
doctors,חי,632
doctors,גורם,627
doctors,כך,625
doctors,אם,624
doctors,אישה,594
doctors,אלה,570
doctors,גוף,536
doctors,מצב,523
doctors,רב,522
doctors,פעילות,511
doctors,יד,487
doctors,בית,483
doctors,כאב,472
doctors,סובל,456
doctors,גיל,453
doctors,עד,453
doctors,בעיה,451
doctors,נתן,451
doctors,בין,447
doctors,רופא,446
doctors,נוסף,445
doctors,בדיקה,444
doctors,אשר,443
doctors,עור,441
doctors,ראשון,441
doctors,סיכון,434
doctors,חדש,424
doctors,איש,421
doctors,דרך,416
doctors,מומלץ,415
doctors,זמן,412
doctors,רפואי,412
doctors,כמו,395
doctors,רמה,395
doctors,אינו,390
doctors,חשוב,389
doctors,שימוש,388
doctors,גבוה,386
doctors,תוצאה,386
doctors,עצם,384
doctors,לב,377
doctors,סוכרת,376
doctors,ניתוח,372
doctors,מוח,370
doctors,אחר,367
doctors,אין,360
doctors,מקרה,355
doctors,כן,350
doctors,כול,349
doctors,לאחר,348
doctors,היי,344
doctors,מספר,340
doctors,פה,338
doctors,בריאות,333
doctors,הנה,331
doctors,עלול,329
doctors,עישון,325
doctors,תופעה,325
doctors,אף,321
doctors,תא,318
doctors,דיבר,317
doctors,עת,316
doctors,חלק,313
doctors,חברה,312
doctors,מהלך,310
doctors,אופן,309
doctors,יכול,309
doctors,היריון,306
doctors,נמצא,306
doctors,שד,306
doctors,בא,305
doctors,ללא,304
doctors,שונה,302
doctors,אצל,301
